date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:06	160279/160279	---MCZ	200	added ('OK')	text/html	etag:W/%225d6e3bda-27217%22	https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html	(from )
13:55:07	13/13	---M--	200	added ('OK')	text/plain	etag:%2258db68d6-d%22	https://pixinvent.com/robots.txt		(from )
13:55:07	7319/7319	---M--	200	added ('OK')	image/png	etag:%225bf91975-1c97%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/images/ico/apple-icon-120.png	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:07	313/313	---MCZ	200	added ('OK')	text/css	etag:W/%225bfbdd5e-139%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/vendors.min.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/vendors.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:07	1568/1568	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-620%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/forms/icheck/icheck.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/forms/icheck/icheck.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:07	1831/1831	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-727%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/forms/icheck/custom.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/forms/icheck/custom.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:08	432/432	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-1b0%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/morris.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/charts/morris.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:08	2208/2208	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-8a0%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/extensions/unslider.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/extensions/unslider.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:08	66232/66232	---MCZ	200	added ('OK')	text/css	etag:W/%225bf91975-102b8%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/weather-icons/climacons.min.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/vendors/css/weather-icons/climacons.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
13:55:08	109/109	---M--	200	added ('OK')	text/css	etag:%225bfbdcd7-6d%22	https://pixinvent.com/bootstrap-admin-template/robust/app-assets/css/app.min.css	C:/Users/Bill/Desktop/Admin/admin/pixinvent.com/bootstrap-admin-template/robust/app-assets/css/app.min.css	(from https://pixinvent.com/bootstrap-admin-template/robust/html/ltr/vertical-menu-template/dashboard-fitness.html)
